roman,target,freq,freq_lang,category,status,notes
mearn,មាន,107477,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=1; rank=3; beams=10; score=-0.9851
meon,មាន,107477,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=1; rank=2; beams=10; score=-0.2357
py,ពី,70847,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=1; rank=3; beams=10; score=-0.5883
lauk,លោក,40623,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=1; rank=3; beams=10; score=-0.3782
louk,លោក,40623,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=1; rank=2; beams=10; score=-0.2050; collision=1; existing_targets=លក់
nuoh,នោះ,38345,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=1; rank=1; beams=10; score=-0.1541
rup,រូប,34206,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=1; rank=2; beams=10; score=-0.2722
aach,អាច,26432,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=2; rank=1; beams=10; score=-0.3546
pheab,ភាព,23278,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=1; rank=2; beams=10; score=-0.3185
chraeun,ច្រើន,22203,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=2; rank=1; beams=10; score=-0.1386
jraeun,ច្រើន,22203,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=2; rank=3; beams=10; score=-0.3016
daer,ដែរ,21786,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=2; rank=3; beams=10; score=-0.4593
douch,ដូច,18465,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=1; rank=3; beams=10; score=-0.4214
kraoy,ក្រោយ,16383,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=1; rank=1; beams=10; score=-0.1854
baeu,បើ,15685,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=1; rank=1; beams=10; score=-0.3197
ruam,រួម,15666,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=2; rank=3; beams=10; score=-0.3673
puok,ពួក,15575,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=2; rank=3; beams=10; score=-0.3674
vynh,វិញ,14764,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=1; rank=3; beams=10; score=-0.3349
jeate,ជាតិ,14579,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=2; rank=1; beams=10; score=-0.2573
samrab,សម្រាប់,14398,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=1; rank=2; beams=10; score=-0.2318
chap,ចាប់,13986,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=2; rank=2; beams=10; score=-0.3182
koun,កូន,13044,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=1; rank=3; beams=10; score=-0.4087
loor,ល្អ,12166,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=1; rank=3; beams=10; score=-0.3273
chuoy,ជួយ,9482,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=2; rank=2; beams=10; score=-0.3396
juoi,ជួយ,9482,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=2; rank=3; beams=10; score=-0.4435
juoy,ជួយ,9482,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=2; rank=1; beams=10; score=-0.1917
noam,នាំ,8898,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=1; rank=1; beams=10; score=-0.2076; collision=1; existing_targets=នាំពា
saat,ស្អាត,8820,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=2; rank=1; beams=10; score=-0.3495
bhlouv,ផ្លូវ,8233,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=2; rank=1; beams=10; score=-0.2866
phlouv,ផ្លូវ,8233,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=2; rank=3; beams=10; score=-0.3113
dakk,ដាក់,8027,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=1; rank=3; beams=10; score=-0.4883
keylakor,កីឡាករ,7501,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=1; rank=3; beams=10; score=-0.2597
leon,លាន,7332,km,generated,approved,tonle:s1; reverse=2en; weak_coverage=1; rank=2; beams=10; score=-0.2272
