abandoned,បោះបង់ចោល
abilities,សមត្ថភាព
ability,សមត្ថភាព
able,អាច
aboriginal,ជនជាតិដើមអាបូរីជីន
abortion,ការពន្លូតកូន
about,អំពី
above,ខាងលើ
abraham,អ័ប្រាហាំ
abroad,នៅបរទេស
absence,អវត្តមាន
absent,អវត្តមាន
absolute,ដាច់ខាត
absolutely,យ៉ាងពិតប្រាកដ
absorption,ការស្រូបយក
abstract,អរូបី
abstracts,អរូបី
abuse,ការរំលោភបំពាន
academic,សិក្សា
academics,សកម្មភាពសិក្សា
academy,បណ្ឌិត្យសភា
accent,សង្កត់សំឡេង
accept,ទទួលយក
acceptable,អាចទទួលយកបាន
acceptance,ការទទួលយក
accepted,ទទួលយក
accepting,ការទទួលយក
accepts,ទទួលយក
access,ការចូលប្រើ
accessed,បានចូលដំណើរការ
accessibility,ភាពងាយស្រួល
accessible,អាចចូលប្រើបាន
accessing,ការចូលប្រើ
accessories,គ្រឿងបន្លាស់
accessory,គ្រឿងបន្លាស់
accident,គ្រោះថ្នាក់
accidents,គ្រោះថ្នាក់
accommodate,អាចទទួលយកបាន
accommodation,កន្លែងស្នាក់នៅ
accommodations,ការស្នាក់នៅ
accompanied,ការភ្ជាប់
accompanying,អម
accomplish,សម្រេច
accomplished,សម្រេចបាន
accordance,អនុលោមតាម
according,នេះបើយោងតាម
accordingly,តាមការគួរ
account,គណនី
accountability,គណនេយ្យភាព
accounting,គណនេយ្យ
accounts,គណនី
accreditation,ការទទួលស្គាល់
accredited,ទទួលបានការទទួលស្គាល់
accuracy,ភាពត្រឹមត្រូវ
accurate,ត្រឹមត្រូវ
accurately,ត្រឹមត្រូវ
accused,ជនជាប់ចោទ
ace,អាត់
acer,កុំព្យូទ័រយួរដៃAcer
achieve,សម្រេចបាន
achieved,សម្រេចបាន
achievement,សមិទ្ធិផល
achievements,សមិទ្ធិផល
achieving,សម្រេចបាន
acid,អាស៊ីត
acids,អាស៊ីត
acknowledge,ទទួលស្គាល់
acknowledged,បានទទួលស្គាល់
acne,មុន
acoustic,សូរសំឡេង
acquire,ទទួលបាន
acquired,ទទួលបាន
acquisition,ការទិញយក
acquisitions,ការទិញយក
acre,ហិចតា
acres,ហិចតា
acrobat,កាយសម្ព័ន្ធ
across,នៅទូទាំង
acrylic,អាគ្រីលិក
act,ធ្វើសកម្មភាព
acting,ការសម្ដែង
action,សកម្មភាព
actions,សកម្មភាព
activated,បានធ្វើឱ្យដំណើរការ
activation,ការធ្វើឲ្យសកម្ម
active,សកម្ម
actively,សកម្ម
activists,សកម្មជន
activities,សកម្មភាព
activity,សកម្មភាព
actor,តារាសម្ដែង
actors,តារាសម្ដែង
actress,តារាសម្តែង
acts,សកម្ម
actual,ពិត
actually,ពិត
acute,ស្រួច
ad,ការផ្សាយពាណិជ្ជកម្ម
adam,អាដាម
adams,អាដាម
adaptation,ការសម្របខ្លួន
adapted,បានសម្របខ្លួន
adapter,អាដាប់ទ័រ
adapters,អាដាប់ទ័រ
adaptive,សម្របសម្រួល
adaptor,អាដាប់ទ័រ
add,បន្ថែម
added,បន្ថែម
addiction,ញៀនថ្នាំ
adding,ការបន្ថែម
addition,បន្ថែម
additional,បន្ថែម
additionally,បន្ថែម
additions,ការបន្ថែម
address,អាសយដ្ឋាន
addressed,អាសយដ្ឋាន
addresses,អាសយដ្ឋាន
addressing,ដោះស្រាយ
adds,បន្ថែម
adelaide,ទីក្រុងអាដេលៃដ៍
adequate,គ្រប់គ្រាន់
adidas,Adidas
adjacent,ជាប់គ្នា
adjust,ការលៃតម្រូវ
adjustable,អាចលៃតម្រូវបាន
adjusted,កែប្រែ
adjustment,ការកែតម្រូវ
adjustments,ការលៃតម្រូវ
admin,អ្នកគ្រប់គ្រង
administered,គ្រប់គ្រង
administration,រដ្ឋបាល
administrative,រដ្ឋបាល
administrator,អ្នកគ្រប់គ្រង
administrators,អ្នកគ្រប់គ្រង
admission,ការចូលរៀន
admissions,ការចូលរៀន
admit,ទទូលយក
admitted,បានទទួលស្គាល់
adobe,Adobe
adolescent,មនុស្សវ័យជំទង់
adopt,អនុម័ត
adopted,បានអនុម័ត
adoption,កូនចិញ្ចឹម
adrian,អាឌ្រីន
ads,ការផ្សាយពាណិជ្ជកម្ម
adult,មនុស្សពេញវ័យ
adults,មនុស្សពេញវ័យ
advance,ទៅមុខ
advanced,កម្រិតខ្ពស់
advancement,វឌ្ឍនភាព
advances,ជាមុន
advantage,អត្ថប្រយោជន៍
advantages,គុណសម្បត្តិ
adventure,ដំណើរផ្សងព្រេង
adventures,ដំណើរផ្សងព្រេង
adverse,អវិជ្ជមាន
advert,ការផ្សាយពាណិជ្ជកម្ម
advertise,ផ្សាយពាណិជ្ជកម្ម
advertisement,ការផ្សាយពាណិជ្ជកម្ម
advertisements,ការផ្សាយពាណិជ្ជកម្ម
